source_id,source_file,source_report,geometry_source,source_x_m,source_y_m,conversion_crs,conversion_status,longitude,latitude
metallic_e00_lab_025,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,15277.781,24660.918,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.85556031,18.22276685
metallic_e00_lab_026,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,13.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99987725,18.0
metallic_e00_lab_027,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,55602.141,31069.207,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.47415163,18.27999876
metallic_e00_lab_028,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,14.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99986781,18.0
metallic_e00_lab_029,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,15867.934,23371.148,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.84999085,18.21110915
metallic_e00_lab_030,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,15.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99985837,18.0
metallic_e00_lab_031,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57794.523,34395.992,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.45332341,18.30999749
metallic_e00_lab_032,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,16.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99984892,18.0
metallic_e00_lab_033,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,16692.48,19897.555,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.84222415,18.17971799
metallic_e00_lab_034,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,17.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99983948,18.0
metallic_e00_lab_035,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,59472.391,33294.453,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.43748474,18.29999923
metallic_e00_lab_036,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,18.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99983004,18.0
metallic_e00_lab_037,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,24098.961,18767.5,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.77223206,18.16943739
metallic_e00_lab_038,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,19.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.9998206,18.0
metallic_e00_lab_039,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,59829.5,32065.617,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.4341431,18.28888699
metallic_e00_lab_040,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,20.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99981115,18.0
metallic_e00_lab_041,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,26733.395,27225.559,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.7472229,18.2458267
metallic_e00_lab_042,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,21.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99980171,18.0
metallic_e00_lab_043,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,29232.641,26459.914,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.7236023,18.23887632
metallic_e00_lab_044,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,22.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99979227,18.0
metallic_e00_lab_045,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,29966.5,25693.047,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.71667482,18.2319374
metallic_e00_lab_046,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,23.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99978283,18.0
metallic_e00_lab_047,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,29234.496,25230.457,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.72360231,18.22776793
metallic_e00_lab_048,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,24.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99977339,18.0
metallic_e00_lab_049,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,33059.352,22469.473,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.68748476,18.20276642
metallic_e00_lab_050,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,25.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99976394,18.0
metallic_e00_lab_051,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,30853.547,22004.367,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.70834353,18.19859692
metallic_e00_lab_052,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,26.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.9997545,18.0
metallic_e00_lab_053,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,75178.109,19420.223,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.28944398,18.17415619
metallic_e00_lab_054,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,27.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99974506,18.0
metallic_e00_lab_055,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,79770.813,24604.578,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.24583448,18.22082901
metallic_e00_lab_056,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,28.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99973562,18.0
metallic_e00_lab_057,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,87687.625,21717.699,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.17111207,18.19443893
metallic_e00_lab_058,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,29.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99972617,18.0
metallic_e00_lab_059,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,98009.156,20106.766,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.07362378,18.17943953
metallic_e00_lab_060,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,30.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99971673,18.0
metallic_e00_lab_061,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,109434.08,26992.879,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-65.96527099,18.24109649
metallic_e00_lab_062,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,31.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99970729,18.0
metallic_e00_lab_063,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,59084.367,5960.155,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.44194033,18.05304717
