municipality,source_state,series_document_class,operational_document_class,fallback_relationship,filename,byte_size,sha256,acquisition_status
Guayama,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Guayama_sectores_inundables.pdf,14441599,19e065ca920f8b0e5115dbf0f4d70602d3de95d9bc6ed35001c7010b7b291c4d,downloaded
Guayanilla,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Guayanilla_sectores_inundables.pdf,5833388,3c4e39f5b5423ba8b1155d8b4f90f52d24b60fe8742d74a9c1582f30a0f13ae5,downloaded
Guaynabo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Guaynabo_sectores_inundables.pdf,22328820,89ee54065b1089a6cf2a0eba8d76f208d2e73b3d3e796f7f894670593bea0e33,downloaded
Gurabo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Gurabo_sectores_inundables.pdf,19362580,d78d8175ee439309d15bf733c726f3cdd8e7bd70290c2aaf7ac08e3035f1549b,downloaded
Hatillo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Hatillo_sectores_inundables.pdf,6858945,f8a740cdf3b327ce5ffe37ececd7a23aa72ac62e4b4b28ec5427895fda0e2c71,downloaded
Hormigueros,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Hormigueros_sectores_inundables.pdf,8160452,ff07a8df5e25d020f4fffaee5de3d7d33e6bdbcdfddec6c2a660b8c9fb0a6f8e,downloaded
Humacao,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Humacao_sectores_inundables.pdf,21643719,321efb665d9e86efb45473ad515f14a02634ae560e371d84adb85f46fd6c883a,downloaded
Isabela,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Isabela_sectores_inundables.pdf,3097780,a4b6d2a8a41d4035f2522f8d40445bddc4fa9192c5e5bdf1576f9523e0cde623,downloaded
Jayuya,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Jayuya_sectores_inundables.pdf,3774754,45600be3668d165c319efec3780b406f9cd88f94ba04848d4f22409f9a33a997,downloaded
Juana Díaz,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,JuanaDiaz_sectores_inundables.pdf,20990777,0a87eb1aef8c7be0e8f44432d897c0aa29fa7041f526f70f0724490117180ef6,downloaded
